Title,User_rating,Release_date,Tagline,Runtime,Genre,Certification,Cast,Budget,Revenue
Sonic the Hedgehog 2,75.5,"Mar 30, 2022",Welcome to the next level.,        2h 3m    ,"['Action', 'Adventure', 'Family', 'Comedy']",        PG      ,"['Ben Schwartz', 'James Marsden', 'Tika Sumpter', ""Colleen O'Shaughnessey"", 'Idris Elba', 'Jim Carrey', 'Natasha Rothwell', 'Adam Pally', 'Shemar Moore']",110000000.0,405400000.0
"Miraculous: Ladybug & Cat Noir, The Movie",77.93,"Jul 05, 2023",The fate of the world is in their hands.,        1h 47m    ,"['Animation', 'Family', 'Fantasy', 'Action', 'Romance', 'Music']",        PG      ,"['Annouck Hautbois', 'Benjamin Bollen', 'Fanny Bloc', ""Alexandre N'Guyen"", 'Antoine Tomé', 'Marie Chevalot', 'Marie Nonnenmacher', 'Martial Le Minoux', 'Flora Kaprielian']",86000000.0,39357124.0
Hypnotic,64.23,"May 11, 2023",Control is an illusion.,        1h 34m    ,"['Mystery', 'Thriller', 'Action', 'Science Fiction']",        R      ,"['Ben Affleck', 'Alice Braga', 'J. D. Pardo', 'Dayo Okeniyi', 'Jeff Fahey', 'Jackie Earle Haley', 'William Fichtner', 'Zane Holtz', 'Ruben Javier Caballero']",70000000.0,9500000.0
Cinderella,68.04,"Mar 06, 2015",Midnight is just the beginning.,        1h 45m    ,"['Romance', 'Fantasy', 'Family', 'Drama']",        PG      ,"['Lily James', 'Cate Blanchett', 'Richard Madden', 'Stellan Skarsgård', 'Holliday Grainger', 'Sophie McShera', 'Derek Jacobi', 'Helena Bonham Carter', 'Nonso Anozie']",95000000.0,543514353.0
Terminator Genisys,59.269999999999996,"Jun 23, 2015",Reset the future,        2h 6m    ,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",        PG-13      ,"['Arnold Schwarzenegger', 'Emilia Clarke', 'Jason Clarke', 'Jai Courtney', 'Matt Smith', 'J.K. Simmons', 'Lee Byung-hun', 'Dayo Okeniyi', 'Courtney B. Vance']",155000000.0,440603537.0
Kung Fu Panda 3,68.84,"Jan 23, 2016",Grab destiny by the rice dumplings.,        1h 35m    ,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",        PG      ,"['Jack Black', 'Bryan Cranston', 'Dustin Hoffman', 'Angelina Jolie', 'J.K. Simmons', 'Jackie Chan', 'Seth Rogen', 'Lucy Liu', 'David Cross']",145000000.0,521170825.0
Hotel Transylvania: Transformania,70.03,"Feb 25, 2022",Change can be scary.,        1h 32m    ,"['Animation', 'Comedy', 'Family', 'Adventure', 'Fantasy']",        PG      ,"['Brian Hull', 'Selena Gomez', 'Andy Samberg', 'Kathryn Hahn', 'Jim Gaffigan', 'Steve Buscemi', 'Molly Shannon', 'David Spade', 'Keegan-Michael Key']",75000000.0,18500000.0
Shrek,77.31,"May 18, 2001",The greatest fairy tale never told.,        1h 30m    ,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",        PG      ,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'John Lithgow', 'Vincent Cassel', 'Peter Dennis', 'Clive Pearse', 'Jim Cummings', 'Bobby Block']",60000000.0,487900000.0
The Godfather Part II,85.88,"Dec 20, 1974",No Tagline,        3h 22m    ,"['Drama', 'Crime']",        R      ,"['Al Pacino', 'Robert Duvall', 'Diane Keaton', 'Robert De Niro', 'John Cazale', 'Talia Shire', 'Lee Strasberg', 'Michael V. Gazzo', 'G. D. Spradlin']",13000000.0,102600000.0
The Godfather,87.09,"Mar 14, 1972",An offer you can't refuse.,        2h 55m    ,"['Drama', 'Crime']",        R      ,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Robert Duvall', 'Richard S. Castellano', 'Diane Keaton', 'Talia Shire', 'Gianni Russo', 'Sterling Hayden']",6000000.0,245066411.0
Aquaman,68.97999999999999,"Dec 07, 2018",Home Is Calling,        2h 23m    ,"['Action', 'Adventure', 'Fantasy']",        PG-13      ,"['Jason Momoa', 'Amber Heard', 'Willem Dafoe', 'Patrick Wilson', 'Nicole Kidman', 'Dolph Lundgren', 'Yahya Abdul-Mateen II', 'Temuera Morrison', 'Ludi Lin']",160000000.0,1148528393.0
Toy Story,79.71000000000001,"Oct 30, 1995",Hang on for the comedy that goes to infinity and beyond!,        1h 21m    ,"['Animation', 'Adventure', 'Family', 'Comedy']",        G      ,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'John Morris', 'Erik von Detten']",30000000.0,394400000.0
TAYLOR SWIFT | THE ERAS TOUR,80.0,"Oct 13, 2023",It’s been a long time coming.,        2h 49m    ,['Music'],        PG-13      ,"['Taylor Swift', 'Mike Meadows', 'Max Bernstein', 'Paul Sidoti', 'Amos Heller', 'Matt Billingslea', 'Karina DePiano', 'Melanie Nyema', 'Kamilah Marshall']",15000000.0,249600000.0
Harry Potter and the Prisoner of Azkaban,80.19999999999999,"May 31, 2004",Something wicked this way comes.,        2h 21m    ,"['Adventure', 'Fantasy']",        PG      ,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Robbie Coltrane', 'Michael Gambon', 'Gary Oldman', 'David Thewlis', 'Timothy Spall', 'Alan Rickman']",130000000.0,789804554.0
Harry Potter and the Goblet of Fire,78.15,"Nov 16, 2005",Dark And Difficult Times Lie Ahead.,        2h 37m    ,"['Adventure', 'Fantasy']",        PG-13      ,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Brendan Gleeson', 'Michael Gambon', 'Robert Pattinson', 'Ralph Fiennes', 'Robbie Coltrane', 'Alan Rickman']",150000000.0,895921036.0
Star Wars: The Last Jedi,68.17999999999999,"Dec 13, 2017",Darkness rises... and light to meet it,        2h 32m    ,"['Adventure', 'Action', 'Science Fiction']",        PG-13      ,"['Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Andy Serkis', ""Lupita Nyong'o"", 'Domhnall Gleeson']",200000000.0,1332698830.0
Up,79.53,"May 28, 2009",The greatest adventure is just getting back home.,        1h 36m    ,"['Animation', 'Comedy', 'Family', 'Adventure']",        PG      ,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai', 'Bob Peterson', 'Delroy Lindo', 'Jerome Ranft', 'John Ratzenberger', 'David Kaye', 'Elie Docter']",175000000.0,735099082.0
Titanic,79.0,"Nov 18, 1997",Nothing on Earth could come between them.,        3h 14m    ,"['Drama', 'Romance']",        PG-13      ,"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates', 'Frances Fisher', 'Gloria Stuart', 'Victor Garber', 'Bill Paxton', 'Bernard Hill']",200000000.0,2264162353.0
Thor: Love and Thunder,65.0,"Jul 06, 2022",The one is not the only.,        1h 59m    ,"['Fantasy', 'Action', 'Comedy']",        PG-13      ,"['Chris Hemsworth', 'Natalie Portman', 'Christian Bale', 'Tessa Thompson', 'Taika Waititi', 'Jaimie Alexander', 'Russell Crowe', 'Chris Pratt', 'Karen Gillan']",250000000.0,760900000.0
No Hard Feelings,70.6,"Jun 15, 2023",Pretty. Awkward.,        1h 44m    ,"['Comedy', 'Romance']",        R      ,"['Jennifer Lawrence', 'Andrew Barth Feldman', 'Laura Benanti', 'Matthew Broderick', 'Natalie Morales', 'Scott MacArthur', 'Ebon Moss-Bachrach', 'Kyle Mooney', 'Hasan Minhaj']",45000000.0,83000000.0
The Avengers,77.0,"Apr 25, 2012",Some assembly required.,        2h 23m    ,"['Science Fiction', 'Action', 'Adventure']",        PG-13      ,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Samuel L. Jackson', 'Cobie Smulders']",220000000.0,1518815515.0
X,67.57,"Mar 17, 2022",Dying to show you a good time.,        1h 46m    ,"['Horror', 'Thriller', 'Mystery']",        R      ,"['Mia Goth', 'Jenna Ortega', 'Brittany Snow', 'Kid Cudi', 'Martin Henderson', 'Owen Campbell', 'Stephen Ure', 'James Gaylyn', 'Simon Prast']",1000000.0,14700000.0
Harry Potter and the Deathly Hallows: Part 1,77.61999999999999,"Nov 17, 2010",One Way… One Fate… One Hero.,        2h 26m    ,"['Adventure', 'Fantasy']",        PG-13      ,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Toby Jones', 'Helena Bonham Carter', 'Alan Rickman', 'Ralph Fiennes', 'Bill Nighy', 'Simon McBurney']",250000000.0,954305868.0
Iron Man 2,68.0,"Apr 28, 2010","It's not the armor that makes the hero, but the man inside.",        2h 4m    ,"['Adventure', 'Action', 'Science Fiction']",        PG-13      ,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell', 'Mickey Rourke', 'Samuel L. Jackson', 'Clark Gregg', 'John Slattery']",200000000.0,623933331.0
