Title,User_rating,Release_date,Tagline,Runtime,Genre,Certification,Cast,Budget,Revenue
The Little Mermaid,64.77000000000001,"May 18, 2023","Watch and you'll see, some day I'll be, part of your world!",        2h 15m    ,"['Adventure', 'Family', 'Fantasy', 'Romance']",        PG      ,"['Halle Bailey', 'Jonah Hauer-King', 'Daveed Diggs', 'Awkwafina', 'Jacob Tremblay', 'Noma Dumezweni', 'Javier Bardem', 'Melissa McCarthy', 'Art Malik']",297000000.0,569600000.0
Jawan,73.0,"Sep 07, 2023",No Tagline,        2h 49m    ,"['Action', 'Adventure', 'Thriller']",        NR      ,"['Shah Rukh Khan', 'Nayanthara', 'Vijay Sethupathi', 'Priyamani', 'Sanya Malhotra', 'Girija Oak', 'Lehar Khan', 'Sanjeeta Bhattacharya', 'Aaliyah Qureishi']",36150000.0,136698671.0
Retribution,69.56,"Aug 23, 2023",All roads lead to the truth.,        1h 31m    ,"['Action', 'Thriller', 'Crime']",        R      ,"['Liam Neeson', 'Noma Dumezweni', 'Lilly Aspell', 'Jack Champion', 'Arian Moayed', 'Embeth Davidtz', 'Matthew Modine', 'Emily Kusche', 'Luca Márkus']",20000000.0,16700000.0
The Nun II,69.13,"Sep 06, 2023",Confess your sins.,        1h 50m    ,"['Horror', 'Mystery', 'Thriller']",        R      ,"['Taissa Farmiga', 'Jonas Bloquet', 'Storm Reid', 'Anna Popplewell', 'Bonnie Aarons', 'Katelyn Rose Downey', 'Suzanne Bertish', ""Léontine d'Oncieu"", 'Anouk Darwin Homewood']",38500000.0,268100000.0
Talk to Me,71.97,"Jul 26, 2023",You call. They'll answer.,        1h 35m    ,"['Horror', 'Thriller']",        R      ,"['Sophie Wilde', 'Alexandra Jensen', 'Joe Bird', 'Otis Dhanji', 'Miranda Otto', 'Zoe Terakes', 'Chris Alosio', 'Marcus Johnson', 'Alexandria Steffensen']",4500000.0,92000000.0
Puss in Boots: The Last Wish,83.0,"Dec 07, 2022",Live each adventure like it's your last.,        1h 43m    ,"['Adventure', 'Fantasy', 'Animation', 'Comedy', 'Family', 'Action']",        PG      ,"['Antonio Banderas', 'Salma Hayek Pinault', 'Harvey Guillén', 'Wagner Moura', 'Florence Pugh', 'Olivia Colman', 'Ray Winstone', 'Samson Kayo', 'John Mulaney']",90000000.0,484700000.0
Harry Potter and the Philosopher's Stone,79.15,"Nov 16, 2001",Let the magic begin.,        2h 32m    ,"['Adventure', 'Fantasy']",        PG      ,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Richard Harris', 'Tom Felton', 'Alan Rickman', 'Robbie Coltrane', 'Maggie Smith', 'Richard Griffiths']",125000000.0,976475550.0
Sound of Freedom,80.86,"Jul 03, 2023",Fight for the light. Silence the darkness.,        2h 11m    ,"['Action', 'Drama']",        PG-13      ,"['Jim Caviezel', 'Mira Sorvino', 'Bill Camp', 'Gerardo Taracena', 'Kurt Fuller', 'José Zúñiga', 'Eduardo Verástegui', 'Scott Haze', 'Yessica Borroto Perryman']",14500000.0,249125713.0
Inside Out,79.2,"Jun 09, 2015",Meet the little voices inside your head.,        1h 35m    ,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",        PG      ,"['Amy Poehler', 'Phyllis Smith', 'Bill Hader', 'Kaitlyn Dias', 'Richard Kind', 'Lewis Black', 'Mindy Kaling', 'Diane Lane', 'Kyle MacLachlan']",175000000.0,857611174.0
Mavka: The Forest Song,73.17,"Mar 02, 2023",No Tagline,        1h 39m    ,"['Animation', 'Adventure', 'Family', 'Fantasy']",        PG      ,"['Nataliia Denysenko', 'Artem Pyvovarov', 'Nazar Zadniprovskyi', 'Oleh Skrypka', 'Olena Kravets', 'Serhii Prytula', 'Oleh Mykhailiuta', 'Nataliia Sumska', 'Julia Sanina']",5000000.0,17300000.0
Alien: Covenant,60.96,"May 09, 2017",The path to paradise begins in hell.,        2h 2m    ,"['Science Fiction', 'Horror', 'Mystery']",        R      ,"['Michael Fassbender', 'Katherine Waterston', 'Billy Crudup', 'Danny McBride', 'Demián Bichir', 'Carmen Ejogo', 'Jussie Smollett', 'Callie Hernandez', 'Amy Seimetz']",97000000.0,240891763.0
Avengers: Infinity War,82.53,"Apr 25, 2018",An entire universe. Once and for all.,        2h 29m    ,"['Adventure', 'Action', 'Science Fiction']",        PG-13      ,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman', 'Don Cheadle']",300000000.0,2052415039.0
Home Alone 2: Lost in New York,67.17,"Nov 19, 1992",Guess who's alone in New York this Christmas!,        2h    ,"['Comedy', 'Family', 'Adventure']",        PG      ,"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', ""Catherine O'Hara"", 'John Heard', 'Devin Ratray', 'Hillary Wolf', 'Maureen Elisabeth Shay', 'Michael C. Maronna']",18000000.0,358994850.0
Godzilla vs. Kong,76.49,"Mar 24, 2021",One Will Fall,        1h 54m    ,"['Action', 'Science Fiction', 'Thriller']",        PG-13      ,"['Alexander Skarsgård', 'Millie Bobby Brown', 'Rebecca Hall', 'Brian Tyree Henry', 'Shun Oguri', 'Eiza González', 'Julian Dennison', 'Lance Reddick', 'Kyle Chandler']",200000000.0,470116094.0
Charlie and the Chocolate Factory,70.0,"Jul 13, 2005",Prepare for a taste of adventure.,        1h 55m    ,"['Adventure', 'Comedy', 'Family', 'Fantasy']",        PG      ,"['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter', 'Noah Taylor', 'Missi Pyle', 'James Fox', 'Deep Roy', 'Christopher Lee']",150000000.0,475000000.0
Godzilla: King of the Monsters,66.8,"May 29, 2019",Long live the king.,        2h 12m    ,"['Science Fiction', 'Action']",        PG-13      ,"['Kyle Chandler', 'Vera Farmiga', 'Millie Bobby Brown', 'Ken Watanabe', 'Zhang Ziyi', 'Bradley Whitford', 'Sally Hawkins', 'Charles Dance', 'Thomas Middleditch']",170000000.0,386600138.0
After Everything,70.08,"Sep 13, 2023",No Tagline,        1h 33m    ,"['Romance', 'Drama']",        R      ,"['Hero Fiennes Tiffin', 'Josephine Langford', 'Mimi Keene', 'Stephen Moyer', 'Louise Lombard', 'Arielle Kebbel', 'Carter Jenkins', 'Kiana Madeira', 'Rob Estes']",14000000.0,10600000.0
Babylon A.D.,56.42,"Aug 20, 2008",Kill or be Killed.,        1h 41m    ,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",        PG-13      ,"['Vin Diesel', 'Michelle Yeoh', 'Mélanie Thierry', 'Lambert Wilson', 'Charlotte Rampling', 'Gérard Depardieu', 'Mark Strong', 'Jérôme Le Banner', 'David Belle']",70000000.0,72109200.0
Top Gun: Maverick,82.47,"May 24, 2022",Feel the need... The need for speed.,        2h 11m    ,"['Action', 'Drama']",        PG-13      ,"['Tom Cruise', 'Miles Teller', 'Jennifer Connelly', 'Jon Hamm', 'Glen Powell', 'Ed Harris', 'Val Kilmer', 'Lewis Pullman', 'Charles Parnell']",170000000.0,1488732821.0
Mad Max: Fury Road,75.86,"May 13, 2015",What a Lovely Day.,        2h 1m    ,"['Action', 'Adventure', 'Science Fiction']",        R      ,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Riley Keough', 'Zoë Kravitz', 'Rosie Huntington-Whiteley', 'Abbey Lee', 'Courtney Eaton']",150000000.0,378858340.0
Batman v Superman: Dawn of Justice,59.57,"Mar 23, 2016",Who will win?,        2h 32m    ,"['Action', 'Adventure', 'Fantasy']",        PG-13      ,"['Ben Affleck', 'Henry Cavill', 'Jesse Eisenberg', 'Gal Gadot', 'Amy Adams', 'Diane Lane', 'Jeremy Irons', 'Holly Hunter', 'Laurence Fishburne']",250000000.0,873637528.0
Ant-Man and the Wasp: Quantumania,64.0,"Feb 15, 2023",Witness the beginning of a new dynasty.,        2h 5m    ,"['Action', 'Adventure', 'Science Fiction']",        PG-13      ,"['Paul Rudd', 'Evangeline Lilly', 'Jonathan Majors', 'Kathryn Newton', 'Michelle Pfeiffer', 'Michael Douglas', 'Corey Stoll', 'Bill Murray', 'William Jackson Harper']",200000000.0,476071180.0
The Monkey King: Reborn,71.68,"Apr 02, 2021",The final showdown.,        1h 35m    ,"['Animation', 'Action', 'Fantasy', 'Family']",        M      ,"['Jiang Bian', 'Haiting Cai', 'Su Shangqing', 'Zhang Lei', 'He Zhang', 'Qiang Lin', 'Sicen Liu', 'Wang Chenguang', 'Zhongyang Baomu']",20000000.0,13000000.0
Willy Wonka & the Chocolate Factory,74.87,"Jun 29, 1971",It's Scrumdidilyumptious!,        1h 39m    ,"['Family', 'Fantasy', 'Comedy']",        G      ,"['Gene Wilder', 'Peter Ostrum', 'Jack Albertson', 'Roy Kinnear', 'Julie Dawn Cole', 'Leonard Stone', 'Denise Nickerson', 'Nora Denney', 'Paris Themmen']",3000000.0,4000000.0
